,Product name,Rating,Summary,Review,sentiment_score,sentiment
1458,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,I switch iPhone 14 Because no major change iPhone 15READ MORE,-0.296,Negative
1460,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Good quality product,NiceVery good 👍READ MORE,0.4404,Positive
1461,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,"Camera quality is very good battery backup is good performance fantastic ,i like this phone thanks flipkart 👍READ MORE",0.937,Positive
1462,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,The beastREAD MORE,0.0,Neutral
1463,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Great productREAD MORE,0.6249,Positive
1465,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Perfect product!,Superb 😎READ MORE,0.6249,Positive
1466,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Highly recommended,Nice phoneREAD MORE,0.4215,Positive
1467,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Very Good,Deal was amazingREAD MORE,0.0,Neutral
1468,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,"Awesome buying experience on Flipkart, 100% geniune product at the least priceREAD MORE",0.6249,Positive
1470,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Utterly Disappointed,Touch screen not workingREAD MORE,0.0,Neutral
1471,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,No words to explain its performance. Android can never match its performance even in any premium phones. Recommend to all android user.READ MORE,0.0772,Neutral
1472,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Best product everREAD MORE,0.6369,Positive
1474,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Pretty good,Best cameraREAD MORE,0.6369,Positive
1476,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,Amazing productREAD MORE,0.5859,Positive
1477,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Good 👍READ MORE,0.4404,Positive
1478,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,Awesome product with best price I have purchased with exchange of my old oneREAD MORE,0.8519,Positive
1479,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,supar phone niceREAD MORE,0.0,Neutral
1480,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Good but value for money...READ MORE,0.6187,Positive
1482,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,This is Awesome!!READ MORE,0.0,Neutral
1484,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Perfect product!,Product quality is absolutely amazingREAD MORE,0.0,Neutral
1485,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,For iPhone no one can see reviewsEvery one love itREAD MORE,0.4588,Positive
1488,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Very nice 👍👍👍👍READ MORE,0.4754,Positive
1494,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Flipkart service and Delivery with care is good.Much appreciatedREAD MORE,0.4939,Positive
1495,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Nice phone awesomeREAD MORE,0.4215,Positive
1496,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Very good product don't think to buyREAD MORE,0.4927,Positive
1498,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,This is All rounder Phone i am veryy happy with this phoneREAD MORE,0.5719,Positive
1500,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,Good experience with IPhone and will be.. strongly recommendedREAD MORE,0.6124,Positive
1501,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Very good and value for moneyREAD MORE,0.7056,Positive
1502,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Highly recommended,This is really a price worthy product. Display of the  phone is really good n smooth.. It's supporting for ear buds of non Apple products.Thanks to Flipkart my dream come trueREAD MORE,0.8826,Positive
1505,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,"Superub product, value for money 👍READ MORE",0.34,Positive
1506,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Just AwesomeREAD MORE,0.0,Neutral
1508,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Highly recommended,IPhone was really awesome best to buy in this sale worth for moneyREAD MORE,0.895,Positive
1509,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,Apple always bestREAD MORE,0.0,Neutral
1510,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Excellent it is as I had expectedREAD MORE,0.5719,Positive
1511,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,"I like the product Design, color, Performance  Best in Everything...!!READ MORE",0.7717,Positive
1512,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,Camera improved a lot ..READ MORE,0.4767,Positive
1513,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Best phone in this price....READ MORE,0.6369,Positive
1514,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Does the job,Awesome product by appleREAD MORE,0.6249,Positive
1515,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Awesome,Excellent quality 😍READ MORE,0.5719,Positive
1516,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Delightful,In slow mo videos natural light is bliknkingREAD MORE,0.3612,Positive
1517,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,Overall goodREAD MORE,0.0,Neutral
1518,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Value-for-money,Photography best everREAD MORE,0.6369,Positive
1521,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Just okay,Very good photoREAD MORE,0.4927,Positive
1523,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Smooth performance but lil bit battery issueREAD MORE,0.0,Neutral
1525,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,I thought the color was lighter but in irl the colour is darker I loved it 😍😍READ MORE,0.7469,Positive
1527,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Camera quality awesome 👌👌🥰READ MORE,0.6249,Positive
1529,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,"Very good performance, I like the camera as well as the performance of the phone,but there is one issue if i turn on the true tone the battery decreases very quickly,Although a very good and handy device Must buy itREAD MORE",0.9193,Positive
1530,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Perfect product!,Zero hateful phone I really likedREAD MORE,-0.4939,Negative
1531,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Good choice,Very nice 👍👍👍👍👍 hiREAD MORE,0.4754,Positive
1532,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Product is very niceREAD MORE,0.0,Neutral
1533,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Does the job,Battery drain very fastREAD MORE,0.0,Neutral
1534,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,Amazing phone thanks Flipkart to arrange delivery with in 12 hours.READ MORE,0.7717,Positive
1535,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Super cool productREAD MORE,0.7351,Positive
1536,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Such a great camera!!! Too goodREAD MORE,0.6249,Positive
1537,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,I love the camera qualityREAD MORE,0.6369,Positive
1539,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Amazing phone must buy it guysREAD MORE,0.5859,Positive
1542,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,"I was writing this review after usage of 20 days, First time I was shifted to IOS. I am in love with IOS smooth UI And Phone Performance was excellent, Battery Also is Good enough for day today user, If you are a light user your battery can go upto Full day. If you're a heavy user you have to charge phone 2 times a day. Camera performance is also very excellent it gives best photos from the android.I am in love with iPhone 14 🫶🏻READ MORE",0.9747,Positive
1543,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Good choice,Thanks FlipkartREAD MORE,0.4404,Positive
1544,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,value of money.READ MORE,0.34,Positive
1545,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Wonderful,Awesome 👌READ MORE,0.6249,Positive
1546,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Nice,Good Phone But Battry not GoodREAD MORE,0.2382,Positive
1547,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Best phoREAD MORE,0.6369,Positive
1548,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Perfect product!,Great productREAD MORE,0.6249,Positive
1549,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Awesome productREAD MORE,0.6249,Positive
1550,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Good product..READ MORE,0.4404,Positive
1551,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Faulty Screen,"This device is a faulty unit; its screen brightness is significantly dim, and when compared to my old iPhone 11, it falls far short in terms of performance.READ MORE",0.0772,Neutral
1553,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Pretty good,To be honest 1. Performance is very good2. Camera is awesome.3. Battery life is decentREAD MORE,0.8908,Positive
1554,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,Nice products and Thank you Flipkart ...READ MORE,0.6486,Positive
1555,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Best phoneREAD MORE,0.6369,Positive
1557,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Nice product,Nice Performance and cameraREAD MORE,0.4215,Positive
1558,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Best in the market ❤️Loved it 😻READ MORE,0.8442,Positive
1563,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,100 / original iPhoneREAD MORE,0.3182,Positive
1564,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,Nice mobileREAD MORE,0.4215,Positive
1566,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,I am very very happy thank you so much FlipkartREAD MORE,0.8081,Positive
1567,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Good phoneREAD MORE,0.4404,Positive
1570,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",1,Worst experience ever!,The product is pretty well but the cord you have given along with phone is not working properly very bad not satisfied over allREAD MORE,-0.7865,Negative
1571,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,I'm happy my mobile superREAD MORE,0.5719,Positive
1572,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,Awesome phoneREAD MORE,0.6249,Positive
1574,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Highly recommended,Awesome thank youREAD MORE,0.765,Positive
1575,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,Working prorleyREAD MORE,0.0,Neutral
1576,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,Apple is apple no doubtREAD MORE,-0.296,Negative
1577,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,"Pros- 1. Camera is great. Enable the warm tone, it will give better result. In videographybest in the price range.2. Battery last about 1 full day in moderate usage.3. Ip 68 rating, build quality and in hand feel is very premium.4. Performance is the best, no lag in games.5. 5g network is very stable in this.6. Around 5 more ios updates.7. Apple ecosystem,  if you have any other Apple product,  it works like a charm.Cons:1. If you are coming from 120 hz display, you will notice the...READ MORE",0.9493,Positive
1578,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Delightful,Very nice Looking 👍READ MORE,0.4754,Positive
1580,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Best quality in low light pictureREAD MORE,0.4767,Positive
1581,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Highly recommended,Its really amazing i brought for my brother colour wise amazingREAD MORE,0.8016,Positive
1583,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Loved it awsomeREAD MORE,0.5994,Positive
1584,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Very coolREAD MORE,0.0,Neutral
1585,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,Happy 😊READ MORE,0.5719,Positive
1586,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Good choice,Excellent iPhone 14 i love this iPhone too muchREAD MORE,0.836,Positive
1587,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Smooth experience with a reasonable price. Colour is definitely osmREAD MORE,0.4019,Positive
1588,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Good productREAD MORE,0.4404,Positive
1589,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Pretty good,In my opinion is iPhone 13 is best deal👍🏻READ MORE,0.6369,Positive
1590,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Does the job,Product is good but it took a long time to arrive. Too badREAD MORE,0.2382,Positive
1591,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Nice phoneREAD MORE,0.4215,Positive
1592,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Good 👍 FlipkartREAD MORE,0.4404,Positive
1593,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Thanks FlipkartREAD MORE,0.4404,Positive
1594,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific,Awesome productREAD MORE,0.6249,Positive
1596,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Perfect product!,Great Product at Awesome PriceREAD MORE,0.8481,Positive
1598,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Nice product,Nyc. Very nycREAD MORE,0.0,Neutral
1599,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Simply awesome,iPhone is good in all aspects and this is my 2nd iPhone but I accept better camera and battery life. 🥹READ MORE,0.8481,Positive
1600,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Purchased on 1st day of BBD23. Awesome looks👌🏻READ MORE,0.6249,Positive
1601,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Good,Even though we bought it brand new it hangs a lotREAD MORE,0.0,Neutral
1602,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Does the job,Not value for moneyREAD MORE,-0.2584,Negative
1603,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Wonderful,Very nice mobileREAD MORE,0.4754,Positive
1604,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Excellent buyREAD MORE,0.5719,Positive
1605,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,"Good deal if you buy it in sale price but the design of iphone is same 12,13,14,15 and 60 hz display in 50k You can buy it if you wanted to use it for regular use.READ MORE",0.2382,Positive
1607,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Wonderful,Phone is awesome and take long time delivery due to lots of order during BBD days but after a long time deliver original and open box delivery.READ MORE,0.6705,Positive
1610,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,"Battery is awesome, lasts for more than one dayREAD MORE",0.6249,Positive
1611,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Very special thanks to Flipkart 👍👍👍READ MORE,0.7328,Positive
1612,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Nice product,Value for money 😍READ MORE,0.34,Positive
1613,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,I juzz loved it..! @READ MORE,0.5994,Positive
1616,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Good choice,Camera is goodREAD MORE,0.0,Neutral
1617,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",3,Good,Nice camREAD MORE,0.4215,Positive
1619,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Just wow!,100% genuine review.... Product is 100% original..... Processor is good👌🏻Low light back and front camera pic is little bit dull. Low light Camera is not good. Personally I like Pro series camera. Performance is good. Battery back up is ok. Little bit heating issue. Otherwise phone is good.. According to feature 50k price is high.. 👍🏻👍🏻👍🏻READ MORE,-0.7956,Negative
1620,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,Nice productREAD MORE,0.4215,Positive
1622,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,No words to expressREAD MORE,-0.296,Negative
1623,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,Excellent productREAD MORE,0.5719,Positive
1625,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,"Best camera like dslr, only battery drain faster than android mobile. All over goodREAD MORE",0.7717,Positive
1626,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Wonderful,Best phoneREAD MORE,0.6369,Positive
1627,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Worth every penny,Camera  4.7 ⭐️ out of 5⭐️Performance 5⭐️ out of 5 ⭐️Battery 4 ⭐️ out of 5 ⭐️READ MORE,0.0,Neutral
1628,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,It was great experience. Performance wise excellent. Camera quality superb specially night mode. No lagging. Only issue battery shoy be slightly better 😊READ MORE,0.9361,Positive
1630,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Value-for-money,I think it is good but you have to carry a power bank for a small journey like 12 to 14 hour journey so it is hectic for meREAD MORE,0.6369,Positive
1632,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Great one as expected!READ MORE,0.6249,Positive
1633,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Best phone alwaysREAD MORE,0.6369,Positive
1634,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Must buy!,"Overall the phone is good, being my first iPhone I like the phone, but there are some small glitches that should be removed through updates. Keeping this aside, other things are commendable.READ MORE",0.4019,Positive
1637,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Awesome,so much thanksREAD MORE,0.0,Neutral
1639,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Awesome product...felt heaven when used it... Flipkart must bring such wonderful discount and products forever...READ MORE,0.9022,Positive
1642,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Excellent,Nice productREAD MORE,0.4215,Positive
1643,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,On Time Delivery And Product was ExcellentREAD MORE,0.0,Neutral
1645,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Awesome performanceREAD MORE,0.6249,Positive
1646,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Good 😊READ MORE,0.4404,Positive
1647,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Mind-blowing purchase,Good product very fast  delivery thnks FlipkartREAD MORE,0.4404,Positive
1648,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Wonderful,Best iPhone with great specifications Thanku flipkart 😊READ MORE,0.8519,Positive
1649,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Great product,Lots of thanks to flipkart❤️READ MORE,0.4404,Positive
1650,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Highly recommended,Thank you very much for the perfect on time deliveryREAD MORE,0.7351,Positive
1651,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Fabulous!,Best oneREAD MORE,0.6369,Positive
1652,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Brilliant,This is allrounder phoneREAD MORE,0.0,Neutral
1654,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Worth the money,Best phoneREAD MORE,0.6369,Positive
1655,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Classy product,Nice product and beautiful colour thankyou FlipkartREAD MORE,0.7717,Positive
1656,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Super!,Very good phone 5/5READ MORE,0.4927,Positive
1657,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",4,Very Good,Best phoneREAD MORE,0.6369,Positive
1659,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Awesome,The quality is so nice and also the cost is cheap . The delivery is on the time . Thank you flipkart.READ MORE,0.7283,Positive
1660,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Best in the market!,Awesome picture quality in nighttimeREAD MORE,0.6249,Positive
1661,"<div class=""_2s4DIt _1CDdy2"">APPLE iPhone 14 (Blue, 128 GB) Reviews</div>",5,Terrific purchase,Nyc 1 super DesignREAD MORE,0.5994,Positive
